Russian Captions                          Georgian Captions
Уэйк Форест                               ueiq foresti
Вост. Мичиган                             aRm. miCigani
Мичиган Ст.                               miCigani st.
Бней Хашарон                              bnei xaSaroni
Боулинг Грин                              bouling grini
Аризона Ст.                               arizona st.
Миссисипи Ст.                             misisipi st.
Сев. Техас                                Cr. teqsasi
Лемминкайнен                              leminkaineni
Буллин Бумерс                             bulin bumersi
БК Муреш                                  mureSi
Майами (Флорида)                          maiami (florida)
Массачусетс                               masaCusetsi
Олд Доминион                              old dominioni
Ричмонд                                   riCmondi
Батлер                                    batleri
Вальпараисо                               valparaiso
Висконсин Милуоки                         viskonsin miluoki
Иллинойс-Чикаго                           ilinois-Cikago
Детройт                                   detroiti
Кливленд Ст.                              klivlend st.
Джорджия Ст.                              jorjia st.
Уильям&amp;Мэри                           uiliam&meri
Тулейн                                    tuleini
Сев. Айова                                Cr. aiova
Колорадо Ст.                              kolorado st.
